Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
8/10/2020, MANUEL CALLEROS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 8, MONTEVIDEO, MONTEVIDEO, 1, 579205, 6142895 
8/10/2020, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 18, MONTEVIDEO, MONTEVIDEO, 1, 573770, 6138400 
25/9/2020, AVENIDA OCHO DE OCTUBRE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 13, MONTEVIDEO, MONTEVIDEO, 1, 576545, 6138625 
25/9/2020, SIN DATOS, DESPISTE, LEVE, VIERNES, 12, MONTEVIDEO, SIN DATOS, 1, 560265, 6146135 
25/9/2020, BOULEVARD GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 15, MONTEVIDEO, MONTEVIDEO, 1, 576200, 6139430 
26/9/2020, CAMINO CASTRO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 0, MONTEVIDEO, MONTEVIDEO, 1, 571980, 6142460 
26/9/2020, MARIA STAGNERO DE MUNAR, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 14, MONTEVIDEO, MONTEVIDEO, 1, 578250, 6140035 
26/9/2020, RUTA CESAR MAYO GUTIERREZ, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 23, MONTEVIDEO, SIN DATOS, 1, 570675, 6152355 
27/9/2020, AVENIDA DOCTOR CARLOS MARIA RAMIREZ, ATROPELLO DE PEATÓN, LEVE, DOMINGO, 15, MONTEVIDEO, MONTEVIDEO, 1, 571055, 6142735 
27/9/2020, DOCTOR CARLOS MARIA DE PENA, CAÍDA, LEVE, DOMINGO, 19, MONTEVIDEO, MONTEVIDEO, 1, 569690, 6144785 
27/9/2020, ANTONIO MACHADO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 22, MONTEVIDEO, MONTEVIDEO, 1, 574615, 6140855 
28/9/2020, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 4, MONTEVIDEO, MONTEVIDEO, 1, 577885, 6138970 
28/9/2020, AVENIDA DOCTOR SANTIN CARLOS ROSSI, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, MONTEVIDEO, MONTEVIDEO, 1, 568270, 6141525 
27/9/2020, VEINTIOCHO DE FEBRERO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 13, MONTEVIDEO, MONTEVIDEO, 1, 571555, 6145385 
29/9/2020, GOES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 11, MONTEVIDEO, MONTEVIDEO, 1, 575935, 6138500 
29/9/2020, BARQUISIMETO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 17, MONTEVIDEO, MONTEVIDEO, 1, 577105, 6143795 
30/9/2020, RAMBLA PRESIDENTE WILSON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 12, MONTEVIDEO, MONTEVIDEO, 1, 576585, 6134525 
