Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
3/12/2020, RUTA DOCE, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 5, CANELONES, SAN RAMON, 1, 596650, 6204190 
3/12/2020, JOSE A. DE AROSTEGUI, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 12, LAVALLEJA, MINAS, 1, 663690, 6195345 
3/12/2020, DEL DAYMAN, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 12, CANELONES, SALINAS, 1, 605605, 6152295 
3/12/2020, AV. 3, DESPISTE, LEVE, JUEVES, 15, CANELONES, CITY GOLF, 1, 612270, 6153340 
3/12/2020, FLORENCIO SANCHEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 16, CANELONES, SANTA LUCIA, 1, 555775, 6188170 
2/12/2020, DEL LICEO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 16, ROCHA, SIN DATOS, 1, 760760, 6161280 
3/12/2020, SIN DATOS, CAÍDA, LEVE, JUEVES, 19, TREINTA Y TRES, SIN DATOS, 1, 739465, 6316200 
3/12/2020, F. GILOMEN, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, JUEVES, 22, COLONIA, NUEVA HELVECIA, 1, 478730, 6206725 
4/12/2020, COLOMBES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 11, CANELONES, SANTA LUCIA, 1, 555910, 6187375 
12/11/2020, AVENIDA SORIANO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 11, PAYSANDU, PAYSANDU, 1, 397665, 6422955 
12/11/2020, S. ERRANDONEA, CAÍDA, LEVE, JUEVES, 18, SALTO, SALTO, 1, 409520, 6526905 
12/11/2020, GENERAL FLORES, CAÍDA, LEVE, JUEVES, 20, TACUAREMBO, TACUAREMBO, 1, 596640, 6490795 
12/11/2020, DIECINUEVE DE ABRIL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 20, SALTO, SALTO, 1, 408640, 6527220 
12/11/2020, CALLE S 1, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 19, CANELONES, PARQUE DEL PLATA, 1, 617150, 6153925 
13/11/2020, AVENIDA GENERAL SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 19, PAYSANDU, PAYSANDU, 1, 397580, 6422560 
13/11/2020, SIN DATOS, DESPISTE, LEVE, VIERNES, 18, CANELONES, SIN DATOS, 1, 623810, 6185290 
13/11/2020, ITUZAINGO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 22, COLONIA, ROSARIO, 1, 467575, 6202810 
14/11/2020, SIN DATOS, DESPISTE, SIN LESIONADOS, SÁBADO, 0, ROCHA, SIN DATOS, 1, 792500, 6207340 
14/11/2020, SIN DATOS, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 3, CANELONES, ATLANTIDA, 1, 613655, 6152255 
14/11/2020, DURAZNO, CAÍDA, LEVE, SÁBADO, 7, MALDONADO, MALDONADO, 1, 687930, 6134965 
14/11/2020, RUTA 70 KM 85.500, DESPISTE, LEVE, SÁBADO, 16, CANELONES, SIN DATOS, 1, 638205, 6150815 
14/11/2020, MAESTRA ANGELA RUBINO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 19, DURAZNO, DURAZNO, 1, 541855, 6306340 
14/11/2020, FACUNDO ALZOLA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 20, SORIANO, MERCEDES, 1, 404400, 6318470 
14/11/2020, SIN DATOS, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 18, PAYSANDU, SIN DATOS, 1, 415485, 6497155 
14/11/2020, CAMINO DEL CERRO EGUZQUIZA Y HUMBERTO MEGGET, CAÍDA, LEVE, SÁBADO, 22, MALDONADO, SIN DATOS, 1, 694840, 6137760 
14/11/2020, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, RIO NEGRO, YOUNG, 1, 440020, 6380935 
15/11/2020, J. MARTINEZ, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, DOMINGO, 7, ROCHA, ROCHA, 1, 744790, 6180535 
15/11/2020, ALEJANDRO GALLINAL, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 15, FLORIDA, FLORIDA, 1, 572280, 6226580 
16/11/2020, POCHO FERNANDEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 7, FLORIDA, FLORIDA, 1, 572145, 6227310 
16/11/2020, AVENIDA DOCTOR BALTASAR BRUM, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, COLONIA, COLONIA DEL SACRAMENTO, 1, 422780, 6186225 
