Fecha y hora,Departamento,Localidad,Jurisdiccion ,Tipo de Siniestro,Vehiculo,Rol,Edad,Sexo,Fallecido a los Dias,Otro vehiculo,Lugar del Siniestro,X,Y
3/4/2018 11:26,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,57,M,0,OMNIBUS,AVENIDA GENERAL EUGENIO GARZON ESQ. TIMOTE,5.709.473.455,61.432.535.508
4/4/2018 5:31,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,22,M,17,OMNIBUS,BOULEVARD GENERAL ARTIGAS ESQ. HOCQUART,5.762.333.517,61.389.682.188
4/4/2018 21:56,SALTO,N/C,NACIONAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,36,M,5,MOTO,RUTA 3 KM 485,,
5/4/2018 19:30,ARTIGAS,ARTIGAS,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,70,F,2,MOTO,AVENIDA BALTASAR BRUM ESQ. JULIAN SAN VICENTE,5.517.069.671,66.357.925.964
7/4/2018 7:00,SAN JOSE,CIUDAD DEL PLATA,DEPARTAMENTAL,CAIDA,MOTO,CONDUCTOR,35,M,0,,DOCTOR ELIAS REGULES ESQ. JUAN ZORRILLA DE SAN MARTIN,5.503.001.077,61.546.615.016
7/4/2018 11:15,PAYSANDU,N/C,NACIONAL,DESPISTE,AUTO,CONDUCTOR,34,M,0,,RUTA 26 KM 125,,
7/4/2018 12:30,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,93,F,4,CAMION,AVENIDA DOCTOR JUAN CARLOS BLANCO ESQ. CAIGUA,5.733.586.155,61.416.447.787
7/4/2018 19:03,SALTO,SALTO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,46,M,7,CAMIONETA,AVENIDA MANUEL PATULE ESQ. JUAN CARLOS GOMEZ,4.073.480.385,65.250.167.398
7/4/2018 19:53,CANELONES,MONTES,DEPARTAMENTAL,DESPISTE,AUTO,CONDUCTOR,31,M,1,,DOCTOR LUIS BACCINO ESQ. ALBERTO LEONI,63.134.181.134.568,618.236.432.189.335
8/4/2018 19:40,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,DESPISTE,AUTO,CONDUCTOR,53,M,23,,EJIDO ESQ. BERMUDEZ,5.743.441.401,61.362.621.759
